Assesment,Score,Condition
Usability score,40,Actual
Usability score,87.5,Actual
Usability score,55,Actual
Usability score,85,Actual
Usability score,72.5,Actual
Usability score,27.5,Actual
Usability score,40,Actual
Usability score,67.5,Actual
Usability score,30,Virtual
Usability score,92.5,Virtual
Usability score,80,Virtual
Usability score,30,Virtual
Usability score,57.5,Virtual
Usability score,30,Virtual
Usability score,55,Virtual
Usability score,60,Virtual
